Date,Last Price
7/21/2023,3295.0542
7/20/2023,3295.2056
7/19/2023,3273.1807
7/18/2023,3294.8252
7/17/2023,3295.5791
7/14/2023,3311.6025
7/13/2023,3312.4458
7/12/2023,3296.6614
7/11/2023,3284.8608
7/10/2023,3271.8757
7/7/2023,3273.521
7/6/2023,3270.6436
7/5/2023,3276.7397
7/4/2023,3284.6853
7/3/2023,3264.9724
6/30/2023,3251.0771
6/29/2023,3252.3628
6/28/2023,3249.4656
6/27/2023,3258.1003
6/26/2023,3254.6433
6/23/2023,3276.7603
6/22/2023,3275.8682
6/21/2023,3275.6089
6/20/2023,3273.8003
6/19/2023,3285.2188
6/16/2023,3302.5332
6/15/2023,3304.457
6/14/2023,3279.4204
6/13/2023,3278.7666
6/12/2023,3286.4771
6/9/2023,3292.3203
6/8/2023,3300.7524
6/7/2023,3292.2917
6/6/2023,3298.7607
6/5/2023,3308.8579
6/2/2023,3312.4365
6/1/2023,3306.3496
5/31/2023,3304.3547
5/30/2023,3316.855
5/29/2023,3317.1523
5/26/2023,3324.1084
5/25/2023,3316.6167
5/24/2023,3329.7166
5/23/2023,3327.7112
5/22/2023,3333.689
5/19/2023,3347.8604
5/18/2023,3333.4995
5/17/2023,3352.605
5/16/2023,3361.9766
5/15/2023,3374.6182
5/12/2023,3371.7529
5/11/2023,3376.9131
5/10/2023,3386.8899
5/9/2023,3390.1453
5/8/2023,3391.499
5/5/2023,3393.3623
5/4/2023,3394.0317
5/3/2023,3391.0298
5/2/2023,3391.1021
5/1/2023,3391.5356
4/28/2023,3393.9038
4/27/2023,3386.0979
4/26/2023,3389.2178
4/25/2023,3386.5117
4/24/2023,3406.7515
4/21/2023,3409.345
4/20/2023,3416.5767
4/19/2023,3409.0879
4/18/2023,3419.1658
4/17/2023,3412.8901
4/14/2023,3411.8481
4/13/2023,3413.457
4/12/2023,3410.7427
4/11/2023,3406.0278
4/10/2023,3406.1038
4/7/2023,3414.2109
4/6/2023,3410.4443
4/5/2023,3411.9023
4/4/2023,3411.6177
4/3/2023,3413.4053
3/31/2023,3417.019
3/30/2023,3417.0854
3/29/2023,3411.5232
3/28/2023,3419.7954
3/27/2023,3419.9258
3/24/2023,3425.9092
3/23/2023,3449.4158
3/22/2023,3422.6777
3/21/2023,3428.8042
3/20/2023,3428.2932
3/17/2023,3423.1191
3/16/2023,3418.2588
3/15/2023,3415.3074
3/14/2023,3431.5024
3/13/2023,3450.272
3/10/2023,3414.4458
3/9/2023,3404.6777
3/8/2023,3410.2827
3/7/2023,3411.5833
3/6/2023,3419.0513
3/3/2023,3434.2891
3/2/2023,3433.5129
3/1/2023,3458.7358
2/28/2023,3431.3613
2/27/2023,3427.0276
2/24/2023,3422.144
2/23/2023,3445.02
2/22/2023,3444.2441
2/21/2023,3447.979
2/20/2023,3471.9165
2/17/2023,3448.604
2/16/2023,3446.2471
2/15/2023,3446.5178
2/14/2023,3458.1289
2/13/2023,3454.0557
2/10/2023,3462.7026
2/9/2023,3477.6743
2/8/2023,3461.7996
2/7/2023,3475.8916
2/6/2023,3453.7412
2/3/2023,3479.3577
2/2/2023,3485.7158
2/1/2023,3479.0737
1/31/2023,3471.0146
1/30/2023,3474.5386
1/27/2023,3451.9412
1/24/2023,3452.3721
1/23/2023,3452.3721
1/20/2023,3457.0024
1/19/2023,3460.1892
1/18/2023,3477.2771
1/17/2023,3459.8755
1/16/2023,3481.5217
1/13/2023,3493.0564
1/12/2023,3481.9326
1/11/2023,3463.5698
1/10/2023,3458.2659
1/9/2023,3463.8081
1/6/2023,3437.6602
1/5/2023,3415.6714
1/4/2023,3427.5356
1/3/2023,3404.5051
12/30/2022,3425.793
12/29/2022,3392.6846
12/28/2022,3383.4639
12/27/2022,3391.4744
12/26/2022,3391.7161
12/23/2022,3374.751
12/22/2022,3388.2822
12/21/2022,3397.8608
12/20/2022,3409.0798
12/19/2022,3395.021
12/16/2022,3384.4292
12/15/2022,3374.2734
12/14/2022,3387.8662
12/13/2022,3402.291
12/12/2022,3389.8611
12/9/2022,3418.0806
12/8/2022,3429.5859
12/7/2022,3440.8442
12/6/2022,3435.5938
12/5/2022,3447.1819
12/2/2022,3483.6284
12/1/2022,3475.9861
11/30/2022,3488.0688
11/29/2022,3456.0508
11/28/2022,3441.0784
11/25/2022,3461.5498
11/24/2022,3474.3354
11/23/2022,3468.668
11/22/2022,3478.9707
11/21/2022,3465.7368
11/18/2022,3483.5396
11/17/2022,3464.0894
11/16/2022,3492.4351
11/15/2022,3521.2554
11/14/2022,3507.9985
11/11/2022,3497.2466
11/10/2022,3460.2388
11/9/2022,3433.2729
11/8/2022,3437.0078
11/7/2022,3438.7659
11/4/2022,3459.5054
11/3/2022,3397.688
11/2/2022,3406.4478
11/1/2022,3413.9189
10/31/2022,3402.0239
10/28/2022,3423.396
10/27/2022,3432.4004
10/26/2022,3462.499
10/25/2022,3425.9824
10/24/2022,3420.6938
10/21/2022,3410.9775
10/20/2022,3402.1768
10/19/2022,3383.2085
10/18/2022,3391.9495
10/17/2022,3381.8176
10/14/2022,3352.7998
10/13/2022,3364.2515
10/12/2022,3337.0977
10/11/2022,3338.5898
10/10/2022,3338.3669
10/7/2022,3356.146
10/6/2022,3351.3682
10/5/2022,3356.5083
10/4/2022,3357.8955
10/3/2022,3357.3574
9/30/2022,3355.6831
9/29/2022,3345.7473
9/28/2022,3283.4277
9/27/2022,3309.907
9/26/2022,3322.9189
9/23/2022,3325.0337
9/22/2022,3347.7915
9/21/2022,3360.3813
9/20/2022,3374.0083
9/19/2022,3378.6355
9/16/2022,3374.0376
9/15/2022,3376.5811
9/14/2022,3388.4651
9/13/2022,3396.6592
9/12/2022,3394.7158
9/9/2022,3396.2466
9/8/2022,3383.7415
9/7/2022,3386.0435
9/6/2022,3382.0908
9/5/2022,3388.6636
9/2/2022,3396.2041
9/1/2022,3395.377
8/31/2022,3406.8945
8/30/2022,3393.4248
8/29/2022,3390.8689
8/26/2022,3406.7495
8/25/2022,3420.521
8/24/2022,3418.3611
8/23/2022,3426.5996
8/22/2022,3418.7068
8/19/2022,3431.4683
8/18/2022,3448.7866
8/17/2022,3450.0127
8/16/2022,3447.2805
8/15/2022,3455.3931
8/12/2022,3469.7268
8/11/2022,3468.4014
8/10/2022,3477.7212
8/9/2022,3463.7512
8/8/2022,3464.595
8/5/2022,3458.9136
8/4/2022,3465.2485
8/3/2022,3461.2314
8/2/2022,3458.9419
8/1/2022,3451.4199
7/29/2022,3457.918
7/28/2022,3462.2739
7/27/2022,3460.918
7/26/2022,3455.354
7/25/2022,3465.5044
7/22/2022,3463.9062
7/21/2022,3460.3735
7/20/2022,3466.4551
7/19/2022,3475.8916
7/18/2022,3476.1265
7/15/2022,3459.4922
7/14/2022,3467.7456
7/13/2022,3469.9961
7/12/2022,3468.4614
7/11/2022,3476.0962
7/8/2022,3489.0325
7/7/2022,3485.4946
7/6/2022,3483.6021
7/5/2022,3472.8242
7/4/2022,3478.895
7/1/2022,3471.499
6/30/2022,3475.0063
6/29/2022,3472.071
6/28/2022,3476.0479
6/27/2022,3474.2524
6/24/2022,3475.7139
6/23/2022,3466.979
6/22/2022,3456.0732
6/21/2022,3471.8589
6/20/2022,3469.3335
6/17/2022,3458.6182
6/16/2022,3455.3643
6/15/2022,3452.7668
6/14/2022,3448.1482
6/13/2022,3433.2646
6/10/2022,3451.4214
6/9/2022,3474.2678
6/8/2022,3474.1021
6/7/2022,3477.3535
6/6/2022,3485.9746
6/3/2022,3482.8762
6/2/2022,3483.4214
6/1/2022,3477.9741
5/31/2022,3476.5996
5/30/2022,3480.2258
5/27/2022,3455.9312
5/26/2022,3447.9199
5/25/2022,3464.71
5/24/2022,3485.2266
5/23/2022,3482.9585
5/20/2022,3463.3789
5/19/2022,3449.3867
5/18/2022,3426.6758
5/17/2022,3428.2354
5/16/2022,3401.8318
5/13/2022,3401.6025
5/12/2022,3399.8223
5/11/2022,3420.6655
5/10/2022,3407.3784
5/6/2022,3436.9507
5/5/2022,3466.3096
5/4/2022,3475.3726
4/29/2022,3475.5627
4/28/2022,3464.5933
4/27/2022,3507.2778
4/26/2022,3504.103
4/25/2022,3501.1096
4/22/2022,3532.1304
4/21/2022,3560.1499
4/20/2022,3579.8855
4/19/2022,3585.2288
4/18/2022,3599.5195
4/15/2022,3594.1021
4/14/2022,3590.1018
4/13/2022,3594.1868
4/12/2022,3594.6558
4/8/2022,3592.9087
4/7/2022,3594.6255
4/6/2022,3595.604
4/5/2022,3593.0159
